City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Bethel,US,41.3712,-73.414,63.55,89,90,3.0,overcast clouds
80,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,88,100,10.96,overcast clouds
81,Bengkulu,ID,-3.8004,102.2655,75.2,90,91,4.47,overcast clouds
82,Biak,ID,-0.9131,122.8766,77.47,84,100,6.51,overcast clouds
83,Venice,US,27.0998,-82.4543,86.99,73,20,11.99,few clouds
84,Taoudenni,ML,22.6783,-3.9836,91.02,10,59,5.41,broken clouds
85,Alta Floresta,BR,-9.8756,-56.0861,80.22,62,91,0.85,overcast clouds
86,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,93,90,13.42,light intensity shower rain
87,Acajutla,SV,13.5928,-89.8275,93.54,79,96,7.67,overcast clouds
88,San Carlos,VE,9.6612,-68.5827,76.06,91,69,1.72,broken clouds
89,Kruisfontein,ZA,-34.0033,24.7314,51.73,77,30,6.13,scattered clouds
90,Port Alfred,ZA,-33.5906,26.891,59.22,72,22,22.21,few clouds
91,Mitzic,GA,0.7821,11.549,66.74,99,75,1.5,broken clouds
92,Kalur Kot,PK,32.1564,71.2594,79.16,44,0,4.43,clear sky
93,Mar Del Plata,AR,-38.0023,-57.5575,59.09,58,0,11.01,clear sky
94,Tessalit,ML,20.1986,1.0114,84.97,11,94,7.67,overcast clouds
95,Kapaa,US,22.0752,-159.319,84.18,73,1,7.0,light rain
96,Shuangcheng,CN,45.35,126.2833,35.28,58,0,9.04,clear sky
97,Indramayu,ID,-6.3264,108.32,79.93,70,96,7.54,overcast clouds
98,Rocha,UY,-34.4833,-54.3333,58.77,79,100,11.79,overcast clouds
99,Qaanaaq,GL,77.484,-69.3632,29.73,87,100,8.1,overcast clouds
100,Ahuimanu,US,21.4447,-157.8378,87.51,59,75,18.41,broken clouds
101,Constitucion,CL,-35.3333,-72.4167,55.53,78,0,13.18,clear sky
102,Lebu,CL,-37.6167,-73.65,51.64,86,9,12.8,clear sky
103,Jamestown,US,42.097,-79.2353,67.84,81,90,8.01,overcast clouds
104,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,80,90,8.05,overcast clouds
