City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Umm Lajj,SA,25.0213,37.2685,87.66,49,0,5.7,clear sky
79,Dauphin,CA,51.1494,-100.0502,62.74,36,1,2.3,clear sky
80,Cherskiy,RU,68.75,161.3,3.04,96,84,5.28,broken clouds
81,Vestmannaeyjar,IS,63.4427,-20.2734,42.98,71,50,13.51,scattered clouds
82,Airai,TL,-8.9266,125.4092,63.48,63,99,1.5,overcast clouds
83,Alice Springs,AU,-23.7,133.8833,53.15,94,90,11.5,light rain
84,Tineo,ES,43.3376,-6.4145,52.25,96,13,3.02,few clouds
85,Mehamn,NO,71.0357,27.8492,44.76,86,100,7.09,overcast clouds
86,Bandarbeyla,SO,9.4942,50.8122,78.67,88,87,20.22,overcast clouds
87,Shelburne,CA,44.0787,-80.2041,64.9,83,96,10.51,overcast clouds
88,Saint George,US,37.1041,-113.5841,74.43,29,1,5.99,clear sky
89,Berdigestyakh,RU,62.0989,126.6992,32.76,91,94,11.7,light snow
90,Lodja,CD,-3.4833,23.4333,70.47,98,100,3.49,light rain
91,Chuy,UY,-33.6971,-53.4616,60.3,78,96,14.2,overcast clouds
92,Tezu,IN,27.9167,96.1667,74.77,74,2,2.8,clear sky
93,Atar,MR,20.5169,-13.0499,87.1,19,1,4.74,clear sky
94,Karratha,AU,-20.7377,116.8463,72.37,34,7,5.91,clear sky
95,Puro,PH,12.4841,123.3827,81.68,84,96,21.27,overcast clouds
96,Manzhouli,CN,49.6,117.4333,37.09,64,0,5.82,clear sky
97,Los Aquijes,PE,-14.0967,-75.6908,59.67,52,3,6.58,clear sky
98,Ostrovnoy,RU,68.0531,39.5131,42.75,94,100,3.06,overcast clouds
99,Salair,RU,54.2312,85.7972,38.46,86,100,4.16,overcast clouds
100,Pingdingshan,CN,33.7385,113.3012,54.07,75,100,6.17,light rain
101,Castro,BR,-24.7911,-50.0119,56.95,95,99,8.25,overcast clouds
102,Maceio,BR,-9.6658,-35.7353,78.24,88,40,8.05,scattered clouds
103,Saint-Augustin,CA,51.226,-58.6502,50.38,65,49,4.88,scattered clouds
104,Sampit,ID,-2.5333,112.95,75.79,97,100,1.52,overcast clouds
105,Arraial Do Cabo,BR,-22.9661,-42.0278,67.23,89,100,19.84,overcast clouds
106,Shimoda,JP,34.6667,138.95,70.11,80,10,7.65,clear sky
107,Komsomolskiy,UZ,40.4272,71.7189,43.74,68,19,1.7,few clouds
108,Lavrentiya,RU,65.5833,-171.0,29.82,79,35,2.3,scattered clouds
109,Manakara,MG,-22.1333,48.0167,67.68,90,52,4.72,broken clouds
110,Jumla,NP,29.2747,82.1838,50.23,77,1,5.14,clear sky
111,Krasnoyarskiy,RU,51.965,59.8967,39.47,82,93,6.13,overcast clouds
112,Upernavik,GL,72.7868,-56.1549,33.24,98,100,11.9,snow
113,Mar Del Plata,AR,-38.0023,-57.5575,59.09,58,0,11.99,clear sky
114,Soderhamn,SE,61.3037,17.0592,51.04,85,100,13.2,overcast clouds
115,Kodiak,US,57.79,-152.4072,49.51,50,90,8.05,overcast clouds
116,Buta,CD,2.7858,24.73,72.5,93,100,2.37,overcast clouds
117,Lasa,IT,46.6166,10.7002,49.08,78,3,7.67,clear sky
118,Suihua,CN,46.6406,126.9969,39.69,69,0,9.19,clear sky
119,Geraldton,AU,-28.7667,114.6,50.41,87,53,9.22,broken clouds
120,Leninsk,RU,48.7119,45.1994,40.86,50,64,3.85,broken clouds
121,Kawalu,ID,-7.3817,108.2082,69.89,98,71,0.27,broken clouds
122,Lebu,CL,-37.6167,-73.65,53.55,79,10,12.5,clear sky
123,Cap Malheureux,MU,-19.9842,57.6142,71.47,91,98,5.01,light rain
124,Zeya,RU,53.75,127.2667,33.4,73,6,5.03,clear sky
125,Puerto Ayora,EC,-0.7393,-90.3518,76.96,86,62,5.99,broken clouds
126,Tuatapere,NZ,-46.1333,167.6833,48.81,96,100,4.16,light rain
127,Ugoofaaru,MV,5.6667,73.0,82.81,78,72,17.63,broken clouds
128,Vysokogornyy,RU,50.1167,139.15,36.16,96,100,18.84,overcast clouds
129,East London,ZA,-33.0153,27.9116,59.67,69,15,17.29,few clouds
130,Solnechnyy,RU,50.7214,136.6319,40.28,88,100,9.66,light rain
131,Tiksi,RU,71.6872,128.8694,28.8,97,100,7.29,light snow
132,Cooma,AU,-36.2333,149.1333,40.77,81,75,9.22,broken clouds
133,Morant Bay,JM,17.8815,-76.4093,84.65,72,57,5.19,broken clouds
134,Salalah,OM,17.0151,54.0924,80.69,74,75,4.61,broken clouds
135,Atagay,RU,55.1033,99.3875,38.16,73,97,4.23,overcast clouds
136,Mayo,US,38.8876,-76.5119,71.87,86,90,13.0,overcast clouds
137,Haldaur,IN,29.3,78.2833,71.17,60,0,1.43,clear sky
138,Leningradskiy,RU,69.3833,178.4167,21.96,89,100,4.68,overcast clouds
139,Barrow,US,71.2906,-156.7887,26.62,93,75,10.36,mist
140,Brookings,US,44.3114,-96.7984,57.54,77,75,16.11,broken clouds
