City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Kohima,IN,10/9/2021 15:54,25.6667,94.1167,63.68,96,1,2.84
71,Okha,RU,10/9/2021 15:54,53.5739,142.9478,39.29,63,100,7.49
72,Esperance,AU,10/9/2021 15:54,-33.8667,121.9,48.04,62,95,6.93
73,Ilulissat,GL,10/9/2021 15:54,69.2167,-51.1,22.37,65,100,4.99
74,Lebedyn,UA,10/9/2021 15:54,50.5852,34.4849,45.75,34,100,7.47
75,Akyab,MM,10/9/2021 15:54,20.15,92.9,82.58,80,20,2.51
76,Saint George,US,10/9/2021 15:53,37.1041,-113.5841,62.55,93,90,3.44
77,Caibarien,CU,10/9/2021 15:54,22.5206,-79.4669,84.31,69,96,3.6
78,Nelson Bay,AU,10/9/2021 15:54,-32.7167,152.15,66.99,71,1,11.95
79,Hasaki,JP,10/9/2021 15:54,35.7333,140.8333,68.4,86,36,6.93
80,Bahia Blanca,AR,10/9/2021 15:54,-38.7196,-62.2724,74.17,26,0,5.46
81,Pangnirtung,CA,10/9/2021 15:49,66.1451,-65.7125,33.8,100,90,0
82,Thinadhoo,MV,10/9/2021 15:54,0.5333,72.9333,84.02,69,100,9.73
83,Longyearbyen,SJ,10/9/2021 15:54,78.2186,15.6401,21.04,73,40,6.91
84,Lima,PE,10/9/2021 15:50,-12.0432,-77.0282,71.91,77,90,3.44
85,Vaini,TO,10/9/2021 15:54,-21.2,-175.2,68.16,100,75,6.91
86,Sainte-Suzanne,RE,10/9/2021 15:54,-20.9061,55.6089,73.62,92,90,12.66
87,Airai,TL,10/9/2021 15:54,-8.9266,125.4092,58.77,76,57,1.61
88,Gubkinskiy,RU,10/9/2021 15:54,64.434,76.5026,30.25,95,99,29.84
89,Cape Town,ZA,10/9/2021 15:54,-33.9258,18.4232,69.12,46,20,17.27
90,Pangkalanbuun,ID,10/9/2021 15:54,-2.6833,111.6167,76.46,93,63,2.68
91,Porto Novo,BJ,10/9/2021 15:54,6.4965,2.6036,84.02,71,100,8.59
92,Sao Joao Da Barra,BR,10/9/2021 15:54,-21.6403,-41.0511,71.69,75,100,8.21
93,Mareeba,AU,10/9/2021 15:54,-17,145.4333,70.52,92,70,5.01
94,Nome,US,10/9/2021 15:49,64.5011,-165.4064,37.47,70,90,6.91
95,Sorland,NO,10/9/2021 15:54,67.667,12.6934,50.31,96,100,17.25
96,Katsuura,JP,10/9/2021 15:54,35.1333,140.3,71.19,85,34,7.23
97,Viedma,AR,10/9/2021 15:54,-40.8135,-62.9967,81.27,20,0,14.67
98,Ostrovnoy,RU,10/9/2021 15:54,68.0531,39.5131,36.86,81,95,11.97
99,Mar Del Plata,AR,10/9/2021 15:55,-38.0023,-57.5575,63,64,0,11.99
100,Celestun,MX,10/9/2021 15:55,20.8667,-90.4,85.96,64,53,2.06
101,Nanortalik,GL,10/9/2021 15:55,60.1432,-45.2371,38.75,77,20,3.89
102,Hastings,GB,10/9/2021 15:52,50.8552,0.5729,66.29,76,54,5.68
103,Mercedes,AR,10/9/2021 15:55,-34.6515,-59.4307,69.64,43,4,9.64
104,Alofi,NU,10/9/2021 15:50,-19.0595,-169.9187,69.69,100,93,1.14
105,Chapais,CA,10/9/2021 15:55,49.7834,-74.8492,60.58,59,70,9.98
106,Tambacounda,SN,10/9/2021 15:55,13.7539,-13.7586,95.05,55,20,6.91
107,Lorengau,PG,10/9/2021 15:52,-2.0226,147.2712,81.61,77,84,4.72
108,Koumac,NC,10/9/2021 15:55,-20.5667,164.2833,69.08,75,11,5.64
109,Arman,RU,10/9/2021 15:55,59.7,150.1667,28.44,62,0,5.86
110,Dikson,RU,10/9/2021 15:55,73.5069,80.5464,30.27,63,100,21.54
111,Biskamzha,RU,10/9/2021 15:55,53.4497,89.5272,36.84,83,93,9.91
112,Sena Madureira,BR,10/9/2021 15:55,-9.0656,-68.6569,98.46,35,89,3.02
113,San Cristobal,VE,10/9/2021 15:55,7.7669,-72.225,77.18,41,19,3.8
114,Half Moon Bay,US,10/9/2021 15:55,37.4636,-122.4286,60.62,75,20,0
115,Tuatapere,NZ,10/9/2021 15:55,-46.1333,167.6833,41.83,91,11,4.59
116,Tasiilaq,GL,10/9/2021 15:55,65.6145,-37.6368,30.76,71,80,7.02
117,Torbay,CA,10/9/2021 15:55,47.6666,-52.7314,46.58,81,75,35.68
118,Ushirombo,TZ,10/9/2021 15:55,-3.4919,31.9639,77.72,49,70,4.94
119,Samana,DO,10/9/2021 15:55,19.2056,-69.3369,86.22,79,20,6.91
120,Nago,JP,10/9/2021 15:55,26.5881,127.9761,83.25,82,8,17.18
121,Saskylakh,RU,10/9/2021 15:55,71.9167,114.0833,10.62,100,100,2.66
122,Ushtobe,KZ,10/9/2021 15:55,45.2514,77.9838,46.02,32,88,2.48
123,Tuktoyaktuk,CA,10/9/2021 15:55,69.4541,-133.0374,28.4,93,75,9.22
124,Rio Grande,BR,10/9/2021 15:55,-32.035,-52.0986,66.31,69,85,18.66
125,Alice Springs,AU,10/9/2021 15:55,-23.7,133.8833,80.15,24,96,12.66
126,Emba,KZ,10/9/2021 15:55,48.8264,58.1442,49.84,42,0,6.69
127,Kaitangata,NZ,10/9/2021 15:55,-46.2817,169.8464,41.47,95,44,4.27
128,Marsa Matruh,EG,10/9/2021 15:55,31.3525,27.2453,77.2,65,0,10.36
129,New Norfolk,AU,10/9/2021 15:55,-42.7826,147.0587,47.7,65,41,3
130,Upington,ZA,10/9/2021 15:55,-28.4478,21.2561,80.98,16,0,11.5
131,San Pedro,PH,10/9/2021 15:55,14.35,121.0167,81.36,88,20,4.61
132,Hobart,AU,10/9/2021 15:51,-42.8794,147.3294,48.06,70,40,1.99
133,Borazjan,IR,10/9/2021 15:55,29.2666,51.2159,88.93,16,0,6.69
134,Dahegam,IN,10/9/2021 15:55,23.1667,72.8167,85.77,50,59,4.45
135,Merauke,ID,10/9/2021 15:55,-8.4667,140.3333,79.39,84,71,14.05
136,Kudahuvadhoo,MV,10/9/2021 15:55,2.6708,72.8944,83.48,75,83,11.21
